"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330069004","Block Group 4, Census Tract 69, King County, Washington","649","104","null","null","40","41","null","null","0","12","null","null","0","12","null","null","11","18","null","null","0","12","null","null","0","12","null","null","16","27","null","null","0","null","12","null","51","null","46","null","41","45","null","null","96","null","61","null","45","null","41","null","131","null","75","null","13","null","21","null","38","43","null","null","167","null","77","null",
"1500000US530330070001","Block Group 1, Census Tract 70, King County, Washington","631","119","null","null","60","67","null","null","29","46","null","null","0","12","null","null","0","12","null","null","43","38","null","null","0","12","null","null","0","12","null","null","26","null","42","null","27","null","45","null","56","65","null","null","0","null","12","null","20","null","35","null","102","null","88","null","139","null","99","null","0","12","null","null","129","null","75","null",
"1500000US530330070002","Block Group 2, Census Tract 70, King County, Washington","998","206","null","null","0","12","null","null","28","46","null","null","22","37","null","null","30","49","null","null","143","157","null","null","0","12","null","null","210","172","null","null","76","null","56","null","0","null","12","null","94","111","null","null","80","null","77","null","108","null","91","null","52","null","60","null","27","null","44","null","56","64","null","null","72","null","72","null",
"1500000US530330070003","Block Group 3, Census Tract 70, King County, Washington","1160","195","null","null","105","82","null","null","0","12","null","null","0","12","null","null","28","45","null","null","0","12","null","null","30","47","null","null","22","36","null","null","79","null","75","null","24","null","40","null","112","92","null","null","165","null","103","null","203","null","172","null","178","null","108","null","45","null","53","null","20","31","null","null","149","null","96","null",
"1500000US530330070004","Block Group 4, Census Tract 70, King County, Washington","717","120","null","null","0","12","null","null","0","12","null","null","0","12","null","null","29","48","null","null","0","12","null","null","29","46","null","null","53","62","null","null","30","null","49","null","50","null","58","null","53","59","null","null","71","null","70","null","135","null","84","null","27","null","42","null","98","null","68","null","57","64","null","null","85","null","54","null",
"1500000US530330070005","Block Group 5, Census Tract 70, King County, Washington","726","174","null","null","0","12","null","null","134","139","null","null","0","12","null","null","51","63","null","null","0","12","null","null","89","80","null","null","82","77","null","null","28","null","48","null","28","null","44","null","32","50","null","null","30","null","47","null","112","null","90","null","84","null","81","null","0","null","12","null","29","48","null","null","27","null","43","null",
"1500000US530330070006","Block Group 6, Census Tract 70, King County, Washington","872","142","null","null","57","67","null","null","0","12","null","null","57","66","null","null","0","12","null","null","55","64","null","null","86","71","null","null","0","12","null","null","28","null","48","null","0","null","12","null","0","12","null","null","0","null","12","null","66","null","67","null","168","null","117","null","96","null","70","null","50","59","null","null","209","null","118","null",
"1500000US530330071001","Block Group 1, Census Tract 71, King County, Washington","1313","163","null","null","128","68","null","null","38","46","null","null","0","12","null","null","46","69","null","null","0","12","null","null","19","30","null","null","0","12","null","null","86","null","92","null","69","null","77","null","104","101","null","null","65","null","63","null","370","null","145","null","85","null","60","null","93","null","71","null","56","52","null","null","154","null","107","null",
"1500000US530330071002","Block Group 2, Census Tract 71, King County, Washington","1909","198","null","null","78","64","null","null","0","12","null","null","17","27","null","null","53","51","null","null","0","12","null","null","95","69","null","null","41","46","null","null","16","null","24","null","55","null","50","null","99","65","null","null","180","null","106","null","523","null","157","null","167","null","85","null","86","null","67","null","177","95","null","null","322","null","137","null",
"1500000US530330072001","Block Group 1, Census Tract 72, King County, Washington","3587","457","null","null","107","105","null","null","110","102","null","null","0","17","null","null","33","58","null","null","163","149","null","null","77","75","null","null","30","49","null","null","73","null","82","null","115","null","145","null","166","116","null","null","112","null","97","null","419","null","212","null","323","null","167","null","349","null","238","null","502","218","null","null","1008","null","323","null",
"1500000US530330072002","Block Group 2, Census Tract 72, King County, Washington","1450","258","null","null","134","164","null","null","54","61","null","null","49","77","null","null","180","151","null","null","0","12","null","null","0","12","null","null","134","100","null","null","0","null","12","null","0","null","12","null","0","12","null","null","62","null","72","null","96","null","75","null","72","null","82","null","103","null","86","null","264","198","null","null","302","null","141","null",
