"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330110021","Block Group 1, Census Tract 110.02, King County, Washington","260","54","null","null","5","8","null","null","8","null","12","null","15","20","null","null","6","null","9","null","0","null","12","null","19","22","null","null","8","12","null","null","19","23","null","null","28","null","30","null","0","null","12","null","31","31","null","null","24","25","null","null","34","29","null","null","42","null","35","null","9","null","15","null","12","null","17","null",
"1500000US530330110022","Block Group 2, Census Tract 110.02, King County, Washington","657","83","null","null","115","68","null","null","75","null","41","null","27","33","null","null","79","null","71","null","26","null","31","null","52","42","null","null","55","36","null","null","0","12","null","null","0","null","12","null","24","null","26","null","61","40","null","null","72","42","null","null","19","22","null","null","45","null","35","null","7","null","12","null","0","null","12","null",
"1500000US530330110023","Block Group 3, Census Tract 110.02, King County, Washington","362","75","null","null","8","13","null","null","7","null","12","null","33","41","null","null","6","null","9","null","7","null","11","null","22","34","null","null","0","12","null","null","14","20","null","null","0","null","12","null","75","null","41","null","39","31","null","null","32","27","null","null","42","35","null","null","53","null","39","null","8","null","12","null","16","null","19","null",
"1500000US530330111011","Block Group 1, Census Tract 111.01, King County, Washington","391","81","null","null","66","55","null","null","54","null","61","null","38","26","null","null","11","null","15","null","9","null","13","null","9","14","null","null","37","38","null","null","16","18","null","null","43","null","49","null","45","null","36","null","15","24","null","null","15","19","null","null","23","24","null","null","0","null","12","null","10","null","16","null","0","null","12","null",
"1500000US530330111012","Block Group 2, Census Tract 111.01, King County, Washington","625","121","null","null","10","16","null","null","54","null","54","null","39","49","null","null","10","null","17","null","34","null","43","null","43","50","null","null","39","59","null","null","43","42","null","null","38","null","50","null","117","null","75","null","37","31","null","null","84","48","null","null","21","24","null","null","0","null","12","null","28","null","27","null","28","null","27","null",
"1500000US530330111013","Block Group 3, Census Tract 111.01, King County, Washington","350","91","null","null","37","48","null","null","0","null","12","null","4","9","null","null","14","null","21","null","0","null","12","null","16","18","null","null","34","28","null","null","9","14","null","null","18","null","22","null","39","null","46","null","31","30","null","null","79","59","null","null","44","36","null","null","25","null","29","null","0","null","12","null","0","null","12","null",
"1500000US530330111014","Block Group 4, Census Tract 111.01, King County, Washington","422","81","null","null","50","50","null","null","0","null","12","null","18","20","null","null","0","null","12","null","9","null","14","null","9","14","null","null","0","12","null","null","30","29","null","null","8","null","13","null","22","null","26","null","40","40","null","null","82","62","null","null","17","22","null","null","39","null","28","null","98","null","63","null","0","null","12","null",
"1500000US530330111021","Block Group 1, Census Tract 111.02, King County, Washington","420","55","null","null","0","12","null","null","16","null","17","null","8","14","null","null","9","null","13","null","8","null","13","null","10","15","null","null","0","12","null","null","9","14","null","null","35","null","27","null","20","null","22","null","36","29","null","null","26","24","null","null","38","26","null","null","54","null","35","null","90","null","50","null","61","null","34","null",
"1500000US530330111022","Block Group 2, Census Tract 111.02, King County, Washington","363","95","null","null","48","52","null","null","10","null","15","null","0","12","null","null","9","null","15","null","29","null","43","null","0","12","null","null","4","9","null","null","8","13","null","null","8","null","12","null","47","null","47","null","57","43","null","null","72","48","null","null","30","27","null","null","18","null","19","null","8","null","12","null","15","null","19","null",
"1500000US530330111023","Block Group 3, Census Tract 111.02, King County, Washington","371","100","null","null","90","73","null","null","11","null","17","null","79","57","null","null","10","null","15","null","19","null","20","null","0","12","null","null","37","49","null","null","10","15","null","null","0","null","12","null","10","null","16","null","10","16","null","null","59","58","null","null","27","25","null","null","9","null","15","null","0","null","12","null","0","null","12","null",
"1500000US530330111024","Block Group 4, Census Tract 111.02, King County, Washington","307","73","null","null","27","43","null","null","17","null","20","null","0","12","null","null","0","null","12","null","19","null","22","null","0","12","null","null","29","45","null","null","8","13","null","null","0","null","12","null","54","null","50","null","9","14","null","null","48","34","null","null","25","25","null","null","9","null","13","null","45","null","31","null","17","null","20","null",
