"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330015002","Block Group 2, Census Tract 15, King County, Washington","1270","null","204","null","1157","193","null","null","0","12","null","null","6","9","null","null","78","52","null","null","0","null","12","null","0","null","12","null","29","27","null","null","0","12","null","null","29","27","null","null",
"1500000US530330016001","Block Group 1, Census Tract 16, King County, Washington","1614","null","219","null","1445","226","null","null","0","12","null","null","0","12","null","null","27","25","null","null","0","null","12","null","8","null","14","null","134","82","null","null","0","12","null","null","134","82","null","null",
"1500000US530330016002","Block Group 2, Census Tract 16, King County, Washington","1333","null","175","null","1188","164","null","null","7","11","null","null","6","10","null","null","115","102","null","null","0","null","12","null","2","null","6","null","15","22","null","null","0","12","null","null","15","22","null","null",
"1500000US530330016003","Block Group 3, Census Tract 16, King County, Washington","1453","null","259","null","1091","200","null","null","22","23","null","null","5","8","null","null","87","78","null","null","0","null","12","null","88","null","131","null","160","153","null","null","0","12","null","null","160","153","null","null",
"1500000US530330017011","Block Group 1, Census Tract 17.01, King County, Washington","1739","null","286","null","1148","202","null","null","79","68","null","null","1","2","null","null","218","128","null","null","1","null","2","null","98","null","106","null","194","103","null","null","47","54","null","null","147","93","null","null",
"1500000US530330017012","Block Group 2, Census Tract 17.01, King County, Washington","989","null","202","null","800","160","null","null","42","75","null","null","24","27","null","null","70","50","null","null","0","null","12","null","0","null","12","null","53","64","null","null","10","15","null","null","43","63","null","null",
"1500000US530330017013","Block Group 3, Census Tract 17.01, King County, Washington","1260","null","253","null","945","223","null","null","68","51","null","null","0","12","null","null","118","69","null","null","0","null","12","null","39","null","49","null","90","59","null","null","21","26","null","null","69","53","null","null",
"1500000US530330017021","Block Group 1, Census Tract 17.02, King County, Washington","1688","null","288","null","1407","259","null","null","12","20","null","null","7","11","null","null","90","80","null","null","0","null","12","null","55","null","68","null","117","82","null","null","0","12","null","null","117","82","null","null",
"1500000US530330017022","Block Group 2, Census Tract 17.02, King County, Washington","920","null","165","null","669","173","null","null","14","22","null","null","32","50","null","null","104","92","null","null","0","null","12","null","0","null","12","null","101","53","null","null","0","12","null","null","101","53","null","null",
"1500000US530330017023","Block Group 3, Census Tract 17.02, King County, Washington","1234","null","341","null","1002","323","null","null","29","41","null","null","0","12","null","null","99","67","null","null","0","null","12","null","28","null","35","null","76","71","null","null","8","12","null","null","68","71","null","null",
"1500000US530330017024","Block Group 4, Census Tract 17.02, King County, Washington","651","null","189","null","475","147","null","null","26","38","null","null","0","12","null","null","112","101","null","null","0","null","12","null","0","null","12","null","38","63","null","null","0","12","null","null","38","63","null","null",
